No,TI024111,TI024114,PI024111,PI024114,PDI024112,FI024117,ZI024113,TIA024500A,TIA024501A,TIA024502A,TIA024503A,VIA024502X
1219,-0.56,86.98,96.21,0.61,6.53,205956,44.29,71.78,55.59,70.64,52.37,41.54
1220,-0.49,87.52,96.27,0.61,6.55,202207.5,42.77,71.89,55.59,70.83,52.66,43.25
1221,-0.8,87.74,96.27,0.61,6.89,204794.1,41.58,71.78,55.59,70.46,52.55,40.97
1222,-1.41,86.68,96.27,0.61,6.8,202742.7,41.6,71.67,55.44,70.09,52.66,43.83
1223,-2.06,87.12,96.33,0.61,7.06,206571.9,42.75,71.56,55.33,70.28,52.55,39.25
1224,-2.44,87.45,96.27,0.61,6.74,204275.1,41.02,71.74,55.37,70.31,52.7,43.64
1225,-2.33,87.89,96.33,0.61,6.79,205541.9,40.28,71.81,55.44,70.35,52.88,44.21
1226,-2.51,86.79,96.33,0.61,6.75,204994.4,40.77,71.74,55.33,70.24,52.66,46.3
1227,-3.02,87.42,96.24,0.61,6.7,203313.2,39.62,71.85,55.37,70.53,52.73,44.21
1228,-3.22,86.87,96.33,0.61,6.7,208268.3,39.6,71.7,55.44,70.46,52.55,44.02
1229,-3.15,87.12,96.27,0.61,6.75,204006.3,42.41,71.74,55.33,70.31,52.59,46.87
1230,-3.56,87.16,96.33,0.61,7.07,203264.3,38.4,71.89,55.33,70.24,52.88,45.35
1231,-3.6,87.16,96.33,0.61,6.88,202614.7,38.5,71.89,55.33,69.98,52.63,40.01
1232,-3.74,87.2,96.27,0.61,6.71,204342,38.43,71.85,55.3,69.91,52.66,42.49
1233,-3.67,87.09,96.36,0.61,6.75,205753.5,38.45,71.74,55.23,70.02,52.63,40.21
1234,-3.56,86.68,96.33,0.61,6.73,205621.8,43.82,71.63,55.19,70.24,52.33,41.16
1235,-3.87,87.01,96.42,0.61,6.91,207676,38.04,71.78,55.33,70.06,52.63,40.01
1236,-3.84,86.87,96.5,0.61,6.76,207974.3,38.18,71.81,55.23,69.95,52.41,44.59
1237,-3.33,86.68,96.53,0.61,6.81,200944.8,38.09,71.67,55.26,69.91,52.55,40.4
1238,-3.56,87.01,96.65,0.61,6.86,207312,37.65,71.63,55.33,69.8,52.66,42.68
1239,-3.43,86.43,96.65,0.61,7.06,205145.6,38.43,71.81,55.23,70.09,52.66,42.49
1240,-3.05,87.16,96.62,0.61,6.93,205818.3,37.52,71.78,55.3,69.8,52.59,44.02
1241,-2.78,87.12,96.62,0.61,6.78,204651.1,37.5,71.74,55.23,69.95,52.44,42.3
1242,-2.47,87.09,96.5,0.61,6.72,204676,38.33,71.74,55.26,70.02,52.48,44.4
1243,-2.1,87.42,96.48,0.61,6.9,202643.6,38.21,71.74,55.44,69.98,52.66,40.21
1244,-1.86,87.71,96.48,0.61,6.87,202000.1,37.45,71.85,55.48,69.95,52.81,41.35
1245,-1.38,87.49,96.56,0.61,6.83,209861.3,37.99,71.89,55.37,70.13,52.81,43.06
1246,-1.24,88,96.53,0.61,6.7,200441.9,38.65,71.92,55.59,70.31,52.99,42.11
1247,-0.97,88.18,96.62,0.61,6.76,203501,38.65,71.96,55.59,70.35,52.99,41.16
1248,-0.73,88.07,96.68,0.61,6.81,200926.6,38.65,71.92,55.63,70.31,52.95,56.02
1249,-0.59,88.48,96.8,0.61,6.78,202768.1,37.87,72,55.52,70.2,53.06,46.68
1250,-0.52,88.26,96.86,0.61,6.63,209694.2,39.04,71.92,55.59,70.31,52.99,42.11
1251,-0.66,87.63,96.91,0.61,6.64,199214.3,38.57,71.85,55.48,70.39,52.99,41.73
1252,-0.66,87.78,96.94,0.61,6.77,203116.4,37.99,71.92,55.7,70.28,52.99,41.16
1253,-0.39,87.93,97.03,0.61,6.63,202769.1,38.09,71.85,55.63,70.39,53.14,44.78
1254,-0.49,88.33,97.12,0.61,6.64,199735.1,38.09,72,55.7,70.39,52.99,42.3
1255,-0.69,88.33,97.15,0.61,6.68,201970.1,38.09,72,55.74,70.35,53.03,40.01
1256,-0.73,88.04,97.09,0.61,6.63,199077.1,38.16,71.92,55.7,70.28,53.14,39.25
1257,-0.8,89.14,97.12,0.61,6.78,199597.2,37.67,72,55.66,70.46,53.14,39.82
1258,-1.07,88.44,97.06,0.61,6.68,200575.6,37.57,71.92,55.55,70.24,53.14,40.97
1259,-1.14,88.51,97.15,0.61,6.48,199769.8,35.96,72,55.7,70.13,53.06,39.82
1260,-1.51,88.22,97.06,0.61,6.79,202497.6,37.62,71.89,55.63,70.31,53.1,39.44
1261,-1.65,88.73,97.15,0.61,6.97,196800,36.48,71.96,55.7,70.31,53.03,41.16
1262,-2.47,88.29,97.15,0.61,6.96,200774.9,36.55,71.7,55.74,70.17,53.17,38.87
1263,-2.4,88.59,97.21,0.61,6.92,204092.2,36.52,71.85,55.52,70.24,53.14,42.11
1264,-2.61,88.33,97.3,0.61,6.83,200194.8,35.52,71.85,55.59,69.95,53.06,40.01
1265,-2.78,88.15,97.3,0.61,7.05,198326.4,36.67,71.85,55.44,69.95,52.92,51.26
1266,-3.02,88.11,97.41,0.61,7.1,201971.4,36.69,71.81,55.55,70.17,52.84,39.44
1267,-3.02,87.93,97.38,0.61,7.02,200754.4,36.65,71.78,55.52,70.42,52.77,39.82
1268,-3.09,87.45,97.38,0.61,6.95,199354.1,37.13,71.74,55.44,70.13,52.73,38.87
1269,-2.98,87.45,97.32,0.61,6.98,200553.5,36.62,71.85,55.37,70.13,52.73,40.4
1270,-2.85,87.85,97.3,0.61,7.1,200004.2,37.09,71.85,55.44,70.02,52.73,40.01
1271,-2.64,88.04,97.18,0.61,7.02,201253.8,37.09,71.92,55.37,70.13,52.88,41.16
1272,-2.74,87.31,97.15,0.61,6.96,201285.8,37.11,71.74,55.37,70.17,52.77,39.82
1273,-2.44,87.63,97.12,0.61,6.64,201683.6,38.28,71.78,55.41,70.31,52.7,40.59
1274,-1.89,88,97.15,0.61,6.63,200004.8,36.62,71.85,55.41,70.17,52.84,41.35
1275,-1.51,87.93,97.15,0.62,6.77,196037.6,37.74,71.81,55.52,70.39,52.77,39.44
1276,-1.72,88.07,97.18,0.62,6.65,198992.7,37.74,71.85,55.48,70.24,52.81,39.63
1277,-1.65,87.93,97.24,0.61,6.52,199833.9,37.09,71.85,55.52,70.2,52.81,41.54
1278,-2.03,87.12,97.3,0.61,6.58,201967.1,40.33,71.85,55.44,70.35,52.55,39.63
1279,-2.27,87.89,97.35,0.61,6.69,200396,36.6,71.81,55.41,70.06,52.81,39.82
1280,-2.54,87.6,97.32,0.61,6.6,195833,36.87,71.78,55.44,70.13,52.63,40.4
1281,-2.23,87.6,97.41,0.61,7.13,201505.1,36.62,71.74,55.52,70.06,52.66,40.78
1282,-3.22,87.63,97.47,0.61,6.62,201314.4,36.69,71.78,55.41,70.09,52.73,40.01
1283,-3.15,86.83,97.5,0.61,6.69,201768.8,40.75,71.81,55.23,70.31,52.41,40.78
1284,-3.39,87.09,97.44,0.61,6.75,198233.5,36.62,71.74,55.48,69.95,52.55,43.64
1285,-3.02,87.23,97.41,0.61,6.77,198027.4,36.13,71.56,55.26,69.87,52.55,45.54
1286,-3.09,86.83,97.41,0.62,6.71,199194.8,37.74,71.74,55.3,69.95,52.59,42.68
1287,-3.5,87.09,97.44,0.61,6.76,200572.2,36.5,71.74,55.37,69.87,52.55,56.78
1288,-3.39,86.94,97.35,0.61,6.99,200845,38.45,71.85,55.19,70.09,52.59,45.16
1289,-3.46,87.2,97.32,0.61,6.98,201855.9,37.21,71.74,55.26,69.95,52.73,40.59
1290,-4.21,87.27,97.38,0.61,7.63,199454.9,37.11,71.78,55.26,70.02,52.7,40.4
1291,-4.08,87.12,97.38,0.61,6.9,198810.2,37.04,71.81,55.19,69.98,52.52,40.97
1292,-3.56,87.12,97.35,0.61,6.89,198319.9,37.67,71.7,55.26,70.13,52.59,42.3
1293,-3.74,87.34,97.35,0.62,6.95,199774.5,36.06,71.74,55.19,70.13,52.44,41.54
1294,-3.91,87.23,97.38,0.61,6.89,200748.8,38.4,71.78,55.23,70.2,52.59,42.3
1295,-3.77,87.16,97.35,0.61,6.71,199113.8,37.09,71.7,55.19,69.95,52.63,42.3
1296,-3.91,87.23,97.41,0.61,6.86,199408.4,37.04,71.78,55.26,69.91,52.63,40.59
1297,-3.36,87.12,97.38,0.61,6.73,198832.7,37.06,71.81,55.26,69.84,52.66,40.78
1298,-2.92,87.78,97.3,0.61,6.76,200400.7,36.94,71.74,55.33,70.13,52.59,40.01
1299,-2.27,87.63,97.18,0.61,6.79,209842.4,37.65,71.78,55.33,70.24,52.7,38.87
1300,-1.79,87.89,97.15,0.61,6.7,198998.6,37.62,71.89,55.59,70.06,52.77,39.63
1301,-0.97,87.96,97.03,0.61,6.75,200439.6,38.16,72.03,55.59,70.2,52.73,38.49
1302,-0.8,88.26,97,0.61,6.68,198109.2,38.65,71.92,55.66,70.39,52.81,41.16
1303,-0.63,88.4,96.94,0.62,6.65,198465,38.45,72.07,55.63,70.39,52.95,38.49
1304,-0.39,88.66,96.91,0.61,6.63,202251.1,38.6,72,55.66,70.57,52.88,37.73
1305,-0.52,88.55,97.03,0.61,6.74,201942,37.94,71.89,55.66,70.39,53.17,37.92
1306,-1.04,88.59,97,0.61,6.71,201627.5,37.99,72,55.66,70.5,52.99,38.87
1307,-1.17,88.51,97.09,0.61,6.73,198913,37.99,71.92,55.63,70.35,52.99,37.92
1308,-1.41,88.4,97.12,0.61,6.68,200545.4,37.62,71.89,55.52,70.35,52.99,43.06
1309,-1.27,88.04,97.12,0.61,6.6,199470.2,38.09,71.85,55.59,70.42,52.95,40.4
1310,-1.17,88.18,97.12,0.61,6.67,201797.3,38.04,71.96,55.52,70.39,52.88,40.4
1311,-1.69,88.18,97.09,0.61,6.72,199724.5,38.14,71.92,55.63,70.39,52.99,38.3
1312,-1.92,87.52,97.09,0.61,6.88,201043.9,38.11,71.81,55.52,70.17,52.84,40.4
1313,-2.06,87.2,97.03,0.61,6.67,202910.8,38.16,71.81,55.52,70.09,52.81,40.78
1314,-1.92,87.63,97.03,0.61,6.79,198843,38.6,71.85,55.37,70.06,52.77,40.01
1315,-1.82,88.11,97.03,0.61,6.78,201468.1,38.62,71.85,55.37,70.39,52.73,40.59
1316,-2.47,88.07,97,0.61,6.9,199315.8,38.65,71.81,55.59,70.31,52.88,42.3
1317,-2.64,87.52,96.89,0.61,6.76,201509.5,38.62,71.74,55.41,70.2,52.77,42.3
1318,-2.71,87.38,96.86,0.62,6.74,202041,39.75,71.85,55.41,70.35,52.63,44.59
1319,-2.98,87.63,96.8,0.61,6.77,201486.9,37.99,71.7,55.33,70.17,52.7,38.87
1320,-3.22,87.45,96.89,0.61,6.77,198072.9,38.53,71.85,55.33,70.13,52.66,40.21
1321,-3.53,87.2,96.86,0.62,7,196881.2,38.57,71.81,55.33,70.28,52.63,40.78
1322,-3.33,87.6,96.94,0.62,6.9,198811.7,38.62,71.74,55.3,70.06,52.66,41.73
1323,-3.5,87.34,96.89,0.61,6.9,198530.6,40.75,71.74,55.44,70.17,52.66,41.92
1324,-3.46,87.67,96.89,0.61,6.92,197219.9,38.5,71.81,55.23,70.02,52.59,42.68
1325,-3.29,87.89,96.89,0.61,6.89,201913.1,38.6,71.81,55.3,70.2,52.84,39.82
1326,-3.02,87.2,96.89,0.61,6.78,199895.7,38.57,71.81,55.33,70.13,52.73,41.54
1327,-2.54,87.96,96.8,0.62,6.82,202086.2,39.23,71.85,55.52,70.42,52.73,40.01
1328,-1.99,88.29,96.65,0.61,6.96,199766.3,40.31,72,55.48,70.53,52.81,41.35
1329,-1.1,88.18,96.56,0.61,6.83,200176.4,39.55,71.89,55.52,70.5,52.73,48.02
1330,-0.45,88.48,96.5,0.61,7.29,200040.5,40.67,72,55.66,70.72,52.81,40.21
1331,-0.08,88.55,96.42,0.62,6.78,200050.7,41.24,71.85,55.85,70.97,52.88,42.68
1332,0.64,88.07,96.39,0.62,7.18,203745.3,41.21,72.11,55.66,70.97,52.73,39.63
1333,0.4,87.96,96.39,0.61,7.13,200017.7,41.16,72.07,55.63,70.68,52.77,40.59
1334,0.54,87.78,96.42,0.61,7.27,202552.5,39.5,71.96,55.7,70.42,52.81,40.59
1335,0.2,88.66,96.5,0.61,7.31,203203,39.5,72,55.7,70.72,52.95,40.01
1336,-0.04,88.37,96.5,0.61,7.22,203451.1,40.19,71.96,55.7,70.68,53.06,39.44
1337,-0.18,88.99,96.56,0.61,7.43,203285.4,40.23,72.07,55.88,70.72,52.95,40.78
1338,-0.11,88.15,96.59,0.61,7.26,200365.4,43.41,71.92,55.7,70.9,52.92,39.63
1339,-0.32,88.15,96.68,0.61,7.3,204632.8,40.26,72,55.92,70.68,53.1,41.35
1340,-0.15,88.77,96.71,0.61,7.22,199825.1,40.14,72.07,55.74,70.64,53.14,38.49
1341,-0.22,88.22,96.68,0.61,7.26,202085.8,40.16,71.96,55.85,70.83,53.1,42.11
1342,-0.08,88.84,96.68,0.61,7.38,200781.6,40.14,72.03,55.77,70.68,53.17,43.44
1343,-0.39,88.4,96.68,0.61,7.36,202339.8,44.36,71.96,55.92,71.08,52.92,42.68
1344,-0.56,89.03,96.74,0.61,7.15,201620.5,38.67,72.11,55.77,70.46,53.21,40.01
1345,-1.51,88.26,96.8,0.61,7.28,202686.3,39.11,71.89,55.77,70.35,53.1,40.78
1346,-1.79,88,96.77,0.61,7.48,206201.6,39.75,71.92,55.66,70.31,53.03,45.73
1347,-1.62,87.93,96.8,0.61,7.28,201953.7,39.11,71.92,55.77,70.24,52.99,39.63
1348,-1.96,87.82,96.71,0.62,7.26,204202.1,44.85,71.81,55.81,70.83,52.81,46.68
1349,-1.92,88.51,96.74,0.61,7.22,201418,38.45,72,55.77,70.39,53.06,41.73
1350,-2.74,88.44,96.89,0.61,7.22,200318.6,38.5,71.81,55.59,70.5,53.06,42.87
1351,-2.64,87.89,96.91,0.61,7.12,201304.5,38.53,71.78,55.66,70.35,52.81,41.35
1352,-2.61,87.78,97.06,0.62,7.08,202252.7,39.82,71.89,55.7,70.53,52.81,39.25
1353,-2.51,85.91,97.03,0.61,7.12,203084.6,45.39,71.56,55.48,70.68,52.52,39.63
1354,-2.61,88.04,97.06,0.62,7.11,207028.4,38.67,71.74,55.63,70.28,52.73,44.02
1355,-2.2,88.04,97.09,0.62,7.94,204385.9,38.7,71.81,55.63,70.39,52.81,43.06
1356,-1.99,88.33,97.06,0.62,7.34,201413.3,39.19,71.81,55.63,70.42,52.73,40.78
1357,-1.96,88.04,97,0.62,7.18,203419.2,39.11,71.96,55.63,70.46,52.88,43.06
1358,-1.62,88.07,96.89,0.62,7.33,201412,41.02,71.92,55.7,70.75,52.84,40.59
1359,-1.72,88.59,96.89,0.61,7.2,207805.8,39.26,71.92,55.77,70.53,53.06,45.92
1360,-1.38,88.55,96.91,0.61,7.39,200036.9,39.19,72,55.74,70.57,52.99,40.01
1361,-1.31,88.88,96.89,0.61,7.31,199366.8,39.75,71.92,55.85,70.64,53.17,40.78
1362,-1.14,88.51,97.03,0.61,7.15,202663.2,39.7,71.96,55.85,70.72,52.99,39.06
1363,-1.27,88.95,97.03,0.62,7.29,202839,38.87,72.07,56.03,70.64,53.06,38.68
1364,-1.07,88.11,97.12,0.62,7.8,205743.3,41.28,72,56.1,70.83,52.95,37.35
1365,-1.07,89.17,97.21,0.62,7.28,201294.7,39.65,71.96,56.1,70.64,53.25,39.63
1366,-1.07,88.26,97.3,0.62,7.45,201145.2,39.62,72.07,56.18,70.72,53.17,38.49
1367,-1.45,88.26,97.3,0.62,7.24,200656.4,39.62,72.18,56.29,70.72,53.21,40.97
1368,-1.99,88.84,97.32,0.62,7.19,205025.6,39.11,72,56.32,70.72,53.25,40.21
1369,-1.24,88.26,97.35,0.62,7.13,206801.2,39.58,71.96,56.21,70.64,53.17,39.82
1370,-0.8,89.1,97.35,0.62,7.18,204247.7,39.58,72.07,56.14,70.83,53.17,39.82
1371,-0.97,88.7,97.35,0.61,7.18,203454.7,39.55,71.89,56.14,70.75,53.1,44.02
1372,-1.27,87.89,97.35,0.61,7.17,204357.5,39.55,71.92,56.03,70.46,52.99,39.82
1373,-1.34,88.59,97.3,0.62,7.64,203779.5,39.19,71.85,55.99,70.64,52.88,41.35
1374,-1.51,88.26,97.3,0.61,7.15,204331.3,39.11,71.85,55.96,70.46,52.81,38.87
1375,-1.89,88,97.24,0.62,7.22,200374.5,39.11,71.92,55.99,70.72,52.81,44.02
1376,-1.89,87.34,97.3,0.61,7.09,197910.1,39.11,71.89,55.96,70.31,52.92,45.54
1377,-1.58,87.89,97.3,0.61,7.14,201959.2,39.16,71.96,55.96,70.46,52.81,39.63
1378,-1.92,87.96,97.3,0.61,7.15,201306.3,38.53,71.85,55.96,70.39,52.92,41.54
1379,-1.55,88.07,97.32,0.61,7.09,203243.3,38.6,71.81,55.96,70.39,52.88,39.25
1380,-2.4,88.07,97.35,0.61,7.07,204655.3,38.57,71.78,55.85,70.5,52.88,46.11
1381,-2.33,87.89,97.41,0.61,7,201977.5,38.57,71.96,55.92,70.39,52.92,40.59
1382,-2.57,87.85,97.41,0.61,7.21,201341.7,39.82,71.85,55.99,70.39,52.81,43.06
1383,-2.27,88.07,97.44,0.61,7.18,203073.1,37.92,71.92,55.88,70.35,52.92,43.06
1384,-1.72,85.88,97.41,0.61,7.22,203214.1,37.92,71.85,55.85,70.28,52.84,39.63
1385,-1.21,86.83,97.3,0.61,7.4,200323.5,38.55,72,55.85,70.53,52.77,44.78
1386,0.02,86.76,97.21,0.61,7.38,206271.5,39.84,71.92,56.1,70.53,52.81,42.11
1387,0.71,87.82,97.09,0.61,7.29,205026.5,41.28,72,56.03,70.83,52.92,40.59
1388,1.39,88.55,97.06,0.61,7.31,202831.8,39.75,72.11,56.21,70.9,53.17,38.87
1389,1.7,88.15,96.97,0.61,7.3,202415.9,40.23,72.11,56.29,71.08,53.14,39.44
1390,2.08,88.33,96.97,0.61,7.22,202021.8,40.7,72.25,56.29,71.27,53.25,41.35
1391,2.11,88.66,97,0.61,7.14,205961.1,40.7,72.33,56.36,71.34,53.25,40.59
1392,1.8,88.55,96.94,0.61,7.34,200146.6,43.36,72.29,56.32,71.19,53.25,37.16
1393,0.98,89.28,97.03,0.61,7.34,200921.6,39.5,72.14,56.25,70.9,53.17,42.68
1394,0.81,88.55,97.15,0.61,7.24,201980.1,39.55,72.14,56.29,70.9,53.17,40.59
1395,1.15,87.89,97.18,0.61,7.58,199509.4,39.58,72.14,56.29,70.97,53.1,39.25
1396,0.33,88.44,97.24,0.61,7.28,203061.7,39.01,71.96,56.21,70.79,53.06,42.87
1397,0.33,88.51,97.15,0.61,7.16,199868.2,42.77,72.03,56.18,71.16,52.84,39.25
1398,0.09,87.67,97.15,0.61,7.08,201808.4,39.75,72.03,56.03,70.64,52.92,39.82
1399,-0.01,87.63,97.06,0.61,7.05,199746.8,40.23,71.92,55.96,70.46,52.92,41.92
1400,-0.73,87.42,97.09,0.61,7.18,196499,40.23,72,55.96,70.53,52.92,43.06
1401,-1.51,87.71,97.09,0.61,7.13,199838.8,39.62,72,56.03,70.5,52.92,41.73
1402,-0.83,87.27,96.97,0.62,7.19,202901.5,46.31,71.81,56.03,70.9,52.48,42.68
1403,-0.52,88,97.12,0.61,7.15,203877.7,38.55,72.03,55.92,70.46,52.81,42.3
1404,0.09,88.33,97.09,0.61,7.94,197330.7,39.11,72.03,55.96,70.64,52.92,43.64
1405,-0.28,87.52,97.03,0.61,7.1,203426.6,39.87,72.03,56.07,70.75,52.84,40.78
1406,-0.8,88.26,96.94,0.61,7.15,199860.3,39.72,72.18,56.21,70.68,52.95,41.92
1407,-1.79,87.56,97,0.61,7.15,200063.9,39.21,71.96,55.99,70.64,52.92,44.02
1408,-1.38,87.38,96.89,0.61,7.16,203711.2,39.09,71.89,56.07,70.39,52.99,45.92
1409,-2.64,88.51,96.89,0.61,7.26,200422.2,39.11,71.96,56.07,70.39,52.99,42.11
1410,-2.47,87.89,97,0.61,7.2,199082.4,37.99,71.85,55.96,70.31,52.95,43.83
1411,-1.79,87.2,97.03,0.61,7.34,200056,38.01,71.96,55.96,70.13,52.73,42.68
1412,-1.07,87.56,97.03,0.62,7.34,200130.3,37.99,72,55.81,70.39,52.81,45.73
1413,-0.42,87.89,96.94,0.61,7.81,207720.1,38.55,72,55.99,70.24,52.66,40.78
1414,0.23,88.66,96.91,0.61,7.25,199722.8,39.11,72.07,56.1,70.46,52.88,41.92
1415,1.46,88.44,96.8,0.61,7.2,201654.4,40.23,72.03,56.1,70.53,52.99,41.16
1416,2.21,88.84,96.62,0.62,7.43,202807.5,41.33,72.14,56.21,70.79,53.14,45.35
1417,2.9,88.88,96.59,0.62,7.29,202957.1,40.99,72.25,56.21,71.01,53.17,36.97
1418,3.07,88.73,96.5,0.61,7.25,209860,41.06,72.22,56.4,71.16,53.21,37.35
1419,3.2,88.95,96.39,0.61,7.49,202157.7,41.77,72.18,56.51,71.27,53.39,38.11
1420,3,89.28,96.39,0.61,7.35,201821.2,40.6,72.22,56.54,71.08,53.54,38.87
1421,2.69,89.06,96.39,0.61,7.31,200700.3,41.06,72.14,56.47,71.08,53.54,38.11
1422,2.49,89.03,96.48,0.61,7.73,199628.3,39.45,72.18,56.58,70.94,53.5,43.44
1423,2.21,89.03,96.5,0.61,7.21,202446.8,39.5,72.22,56.47,71.05,53.5,38.49
1424,1.94,89.61,96.56,0.61,7.09,203460.8,40.7,72.25,56.43,71.3,53.39,40.4
1425,1.7,88.92,96.59,0.61,7.03,202328,39.53,72.22,56.51,71.08,53.47,39.06
1426,1.9,89.14,96.59,0.61,7.26,201280.4,40.04,72.18,56.4,70.9,53.43,38.68
1427,1.9,89.32,96.62,0.61,6.94,198137.7,37.96,72.07,56.43,70.9,53.43,39.82
1428,1.56,89.83,96.5,0.61,7.25,198397.6,40.28,72.14,56.32,70.94,53.25,44.59
1429,1.46,88.66,96.45,0.62,7.28,199756.7,40.65,72.11,56.29,71.16,53.14,41.16
1430,1.29,89.06,96.42,0.62,7.23,201708.4,40.7,72.03,56.36,71.23,53.17,39.06
1431,1.46,88.7,96.45,0.61,7.31,199811,41.14,72.07,56.4,71.12,53.21,40.97
1432,-0.39,88.88,96.48,0.62,7.01,200757.5,39.45,72.22,56.36,71.05,53.32,40.21
1433,-0.28,88.51,96.45,0.61,7.06,201532,39.45,72.03,56.21,70.94,53.1,39.25
1434,-0.45,88.4,96.39,0.62,7.04,201520.2,40.19,72.03,56.14,70.79,53.06,40.78
1435,-0.42,88.4,96.39,0.62,7.29,204458.1,40.14,72.11,56.18,70.83,53.03,45.92
1436,-0.49,87.67,96.39,0.62,7.04,202636.1,40.75,72.03,56.1,70.57,53.06,47.07
1437,-0.45,88.33,96.42,0.61,7.1,198410.5,39.19,71.96,56.18,70.39,53.06,45.73
1438,-1.34,88.26,96.53,0.62,7.14,198374.4,39.55,72,56.03,70.72,53.03,45.54
1439,-1.31,88.26,96.56,0.61,7.07,197316.5,39.11,71.85,56.21,70.72,52.95,40.59
1440,-0.66,88.11,96.65,0.61,7.31,201480.6,39.72,72.03,56.03,70.61,52.99,42.49
1441,-0.39,87.6,96.65,0.62,7.23,201108.3,41.19,72.03,56.21,70.72,52.95,42.49
1442,0.09,87.89,96.53,0.61,7.2,201379.3,39.06,72.03,56.18,70.72,53.03,41.73
1443,0.47,88.73,96.45,0.61,7.12,196657,39.62,72,56.25,70.46,53.17,39.44
1444,0.95,88.04,96.45,0.62,7.32,202596.4,40.31,71.96,56.25,70.64,53.25,42.11
1445,1.19,88.88,96.27,0.61,7.12,202270.7,40.11,72.07,56.21,70.64,53.17,40.01
1446,1.32,89.21,96.12,0.62,6.99,202071.5,42.7,72.03,56.21,70.97,53.17,43.25
1447,1.73,88.48,96.18,0.61,7.12,203421.3,39.97,72.14,56.4,70.68,53.17,38.11
1448,1.73,89.06,96.3,0.61,7.11,198942,40.5,72.11,56.4,71.01,53.25,38.49
1449,1.73,88.88,96.27,0.61,6.93,200154.4,40.45,72.11,56.4,71.12,53.25,41.54
1450,1.84,88.77,96.39,0.61,7.02,199224.8,40.5,72.14,56.47,70.86,53.36,41.92
1451,2.25,88.84,96.48,0.61,7.03,202247.1,44.9,72.22,56.4,71.23,53.25,39.06
1452,1.67,89.5,96.48,0.61,7.05,202594.3,39.04,72.18,56.51,70.9,53.36,38.11
1453,1.29,89.54,96.53,0.61,7.42,196902.2,39.53,72.29,56.47,71.08,53.43,39.44
1454,1.39,89.06,96.53,0.61,0.25,199038,40.16,72.18,56.43,71.12,53.5,44.59
1455,1.02,88.99,96.48,0.61,0.25,199798.5,40.75,72.11,56.51,70.9,53.43,39.82
1456,0.98,88.7,96.48,0.61,6.26,203777.7,38.62,72.18,56.4,71.01,53.54,43.64
1457,1.19,89.61,96.45,0.61,6.75,201865.2,40.28,72.18,56.51,71.16,53.47,47.07
1458,0.57,88.95,96.5,0.61,6.61,200024,40.65,72.22,56.51,71.16,53.43,41.92
1459,0.64,88.95,96.42,0.61,6.69,198970.2,40.7,72.18,56.4,71.19,53.43,39.82
1460,0.64,88.59,96.39,0.61,6.73,202133.8,41.21,72.07,56.47,71.05,53.25,40.4
1461,0.54,88.84,96.39,0.61,6.68,199645.8,38.77,72.03,56.36,71.01,53.43,40.78
1462,0.44,89.1,96.33,0.61,6.69,205994.4,40.02,72.07,56.47,71.08,53.43,39.63
1463,0.23,90.02,96.39,0.62,6.66,198147.6,40.7,72.29,56.47,71.16,53.5,42.11
1464,0.26,88.77,96.39,0.62,6.66,200213.1,41.16,72.18,56.54,71.12,53.36,41.35
1465,0.33,89.83,96.42,0.61,6.7,200613.7,40.7,72.18,56.29,70.94,53.36,41.54
1466,0.33,89.72,96.53,0.62,6.81,199267.9,39.92,72.22,56.47,70.97,53.36,45.16
1467,0.26,90.05,96.48,0.61,6.86,204571,39.94,72.03,56.36,70.9,53.36,41.54
1468,0.2,88.95,96.59,0.61,6.88,199673.6,39.99,72.14,56.36,70.9,53.32,47.45
1469,0.44,88.88,96.53,0.61,6.94,200731.6,40.02,72.11,56.43,70.9,53.32,41.92
1470,0.54,89.43,96.53,0.61,6.88,199663,41.16,72.11,56.58,71.19,53.36,44.59
1471,0.74,89.54,96.59,0.62,6.92,202398.5,40.43,72.29,56.54,71.12,53.5,43.25
1472,0.74,89.72,96.53,0.61,6.94,198745.8,40.55,72.22,56.47,71.05,53.5,40.21
1473,0.74,89.21,96.42,0.61,6.79,198240.5,40.53,72.14,56.47,71.23,53.5,39.82
1474,1.15,88.88,96.39,0.61,6.9,204232.2,40.53,72.22,56.47,71.12,53.43,41.73
1475,1.32,89.54,96.33,0.61,6.75,200752.6,41.06,72.29,56.69,71.41,53.5,38.11
1476,1.53,89.94,96.39,0.61,6.79,204046.3,40.41,72.25,56.54,71.16,53.61,38.3
1477,1.73,89.43,96.48,0.61,6.77,200974.5,40.99,72.25,56.62,71.34,53.61,38.3
1478,1.94,89.72,96.53,0.61,6.5,200920.8,40.63,72.36,56.62,71.3,53.69,42.49
1479,1.97,89.54,96.53,0.61,6.56,201718.3,40.58,72.33,56.73,71.38,53.83,41.54
1480,2.01,89.54,96.65,0.61,6.59,204835.3,40.48,72.33,56.69,71.27,53.72,39.06
1481,2.11,89.47,96.62,0.61,6.62,203071.2,39.89,72.22,56.65,71.27,53.65,40.4
1482,3.03,89.94,96.74,0.61,6.72,199968.5,39.45,72.33,56.73,71.3,53.69,38.49
1483,2.55,89.8,96.8,0.61,6.57,200595.6,39.45,72.29,56.65,71.3,53.72,39.82
1484,2.14,89.94,96.74,0.61,6.63,203865.7,39.43,72.29,56.65,71.41,53.76,39.06
