shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff89a06dc0,0x7fff89a104a1
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff8863b3f0,0x7fff88643bd9
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff830957d4,0x7fff8309662d
shared-library,"/usr/lib/system/libunc.dylib",0x7fff8366f5f1,0x7fff83670950
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff82d33b84,0x7fff82d38606
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff85d53960,0x7fff85d68d06
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff8299dc20,0x7fff829d0517
shared-library,"/usr/lib/libauto.dylib",0x7fff835aa1b0,0x7fff835e8690
shared-library,"/usr/lib/libc++abi.dylib",0x7fff896bc240,0x7fff896d13e8
shared-library,"/usr/lib/libc++.1.dylib",0x7fff89b9c5a0,0x7fff89bddfd0
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff89f57f6a,0x7fff89f58802
shared-library,"/usr/lib/system/libkxld.dylib",0x7fff835f706c,0x7fff83600fc4
shared-library,"/System/Library/Frameworks/CFNetwork.framework/Versions/A/CFNetwork",0x7fff84ca7520,0x7fff84dc41cd
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/CarbonCore",0x7fff8c880d40,0x7fff8c961751
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Metadata",0x7fff881726d0,0x7fff881cf0bb
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/OSServices.framework/Versions/A/OSServices",0x7fff80f5f6c0,0x7fff80fd3597
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/SearchKit.framework/Versions/A/SearchKit",0x7fff8a1edad8,0x7fff8a241dcc
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/AE.framework/Versions/A/AE",0x7fff87e00860,0x7fff87e4aad5
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/LaunchServices.framework/Versions/A/LaunchServices",0x7fff82e3fc8c,0x7fff82ec9c2d
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/DictionaryServices",0x7fff85d768b8,0x7fff85d98bee
shared-library,"/System/Library/Frameworks/SystemConfiguration.framework/Versions/A/SystemConfiguration",0x7fff8cfa7b10,0x7fff8cfe4ef6
shared-library,"/usr/lib/libsqlite3.dylib",0x7fff839cc880,0x7fff83ab64c0
shared-library,"/usr/lib/libxml2.2.dylib",0x7fff84738150,0x7fff847fc67f
shared-library,"/usr/lib/libxar.1.dylib",0x7fff88274fb8,0x7fff88280804
shared-library,"/usr/lib/libpam.2.dylib",0x7fff836e0780,0x7fff836e3548
shared-library,"/usr/lib/libOpenScriptingUtil.dylib",0x7fff8039ed6c,0x7fff8039eece
shared-library,"/usr/lib/libbz2.1.0.dylib",0x7fff81416bdc,0x7fff8142286c
shared-library,"/System/Library/Frameworks/DiskArbitration.framework/Versions/A/DiskArbitration",0x7fff83c5a320,0x7fff83c5de2e
shared-library,"/System/Library/Frameworks/NetFS.framework/Versions/A/NetFS",0x7fff8a327ba0,0x7fff8a32cefe
shared-library,"/System/Library/PrivateFrameworks/NetAuth.framework/Versions/A/NetAuth",0x7fff829ef030,0x7fff829f8821
shared-library,"/System/Library/PrivateFrameworks/DataDetectorsCore.framework/Versions/A/DataDetectorsCore",0x7fff878c9ec0,0x7fff87912a51
shared-library,"/System/Library/PrivateFrameworks/TCC.framework/Versions/A/TCC",0x7fff8d0616b0,0x7fff8d063c79
shared-library,"/usr/lib/liblangid.dylib",0x7fff82d3b157,0x7fff82d3ba32
shared-library,"/usr/lib/libCRFSuite.dylib",0x7fff899a4490,0x7fff899bca48
shared-library,"/System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/GenerationalStorage",0x7fff893ff2f0,0x7fff8941032f
shared-library,"/System/Library/Frameworks/OpenDirectory.framework/Versions/A/Frameworks/CFOpenDirectory.framework/Versions/A/CFOpenDirectory",0x7fff846de180,0x7fff846ebb8a
shared-library,"/usr/lib/libxslt.1.dylib",0x7fff84e5ee64,0x7fff84e7e98f
shared-library,"/System/Library/Frameworks/Accelerate.framework/Versions/A/Accelerate",0x7fff84513000,0x7fff84513000
shared-library,"/System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Resources/libFontParser.dylib",0x7fff89897a64,0x7fff898f8830
shared-library,"/System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Resources/libFontRegistry.dylib",0x7fff8965f900,0x7fff896912f8
