statusType,nID,strSourceName,strStorageName,strTagName,intervalType,nInterval,aggregateType,tmBegin,tmEnd,aggregateLength,aggregateTime,bUpdate,strTableName,strValueCol,strTimeStampCol,strQualityCol,strTagNameCol,strAggregateCol,strCustomCol1,strCustomValue1,strTagNameSql,tkType,wtType
0,34,test,SQL,\采集站1\XK\YX1COM31N10CV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N10CV,Time,,,,,,,0,0
0,35,test,SQL,\采集站1\XK\YX1COM31N10P,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N10P,Time,,,,,,,0,0
0,36,test,SQL,\采集站1\XK\YX1COM31N10W,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N10W,Time,,,,,,,0,0
0,37,test,SQL,\采集站1\XK\YX1COM31N12AC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N12AC,Time,,,,,,,0,0
0,38,test,SQL,\采集站1\XK\YX1COM31N12AV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N12AV,Time,,,,,,,0,0
0,39,test,SQL,\采集站1\XK\YX1COM31N12CC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N12CC,Time,,,,,,,0,0
0,40,test,SQL,\采集站1\XK\YX1COM31N12COS,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N12COS,Time,,,,,,,0,0
0,41,test,SQL,\采集站1\XK\YX1COM31N12CV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N12CV,Time,,,,,,,0,0
0,42,test,SQL,\采集站1\XK\YX1COM31N12P,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N12P,Time,,,,,,,0,0
0,43,test,SQL,\采集站1\XK\YX1COM31N12W,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N12W,Time,,,,,,,0,0
0,44,test,SQL,\采集站1\XK\YX1COM31N13AC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N13AC,Time,,,,,,,0,0
0,45,test,SQL,\采集站1\XK\YX1COM31N13AV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N13AV,Time,,,,,,,0,0
0,46,test,SQL,\采集站1\XK\YX1COM31N13CC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N13CC,Time,,,,,,,0,0
0,47,test,SQL,\采集站1\XK\YX1COM31N13COS,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N13COS,Time,,,,,,,0,0
0,48,test,SQL,\采集站1\XK\YX1COM31N13CV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N13CV,Time,,,,,,,0,0
0,49,test,SQL,\采集站1\XK\YX1COM31N13P,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N13P,Time,,,,,,,0,0
