Station:,NewSta1
Sixlog Tag Name:,/nvram/datalog/sjjl_wrz_11.6dl
Time,Modbus_123_OK,Modbus_124_OK,Self_Heartbeat,Self_Active,Self_Backup,Other_Heartbeat,Other_Active,Other_Status,Self_Status,Redundancy_Role,PT_101_FO,TT_101_FO,PdT_201_FO,PdT_202_FO,PdT_203_FO,PT_304_FO,PT_301_FO,PT_302_FO,PT_303_FO,TT_301_FO,TT_302_FO,TT_303_FO,TT_401_FO,PT_401_FO,V1_01_FK1_FO,V1_01_FK2_FO,PIC_401_FO,PT_01_FO,PT_02_FO,PT_03_FO,PIC_401_SD_FO,LLJ1_1_FO,LLJ1_2_FO,LLJ1_3_FO,LLJ1_4_FO,LLJ1_5_FO,LLJ1_6_FO,LLJ2_1_FO,LLJ2_2_FO,LLJ2_3_FO,LLJ2_4_FO,LLJ2_5_FO,LLJ2_6_FO,LLJ3_1_FO,LLJ3_2_FO,LLJ3_3_FO,LLJ3_4_FO,LLJ3_5_FO,LLJ3_6_FO,PIC_401_SP_LL,PIC_401_SP_YL,PIC_401_P1,PIC_401_I1,PIC_401_D1,PIC_401_OUT,WSD_SD_FO,WSD_WD_FO,QTBJ_LD1_FO,QTBJ_LD2_FO,QTBJ_LD3_FO,UPS_SRDY_FO,UPS_SCDY_FO,UPS_DCDY_FO,PT_SYYL,PT_XYYL,SIXLOG Record Number,SIXLOG Timestamp
2014/08/18   10:12:19,1,1,1,1,0,1,0,0,0,1,0.0000,19.6597,0.0000,0.2747,0.2899,1.3949,0.0086,0.3747,0.3754,25.5284,24.6159,12.1674,13.3943,0.3749,0.0000,0.0000,22.2510,0.0000,2.2797,0.3599,0.0000,961.0000,11300.0000,0.0000,0.0000,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.5000,24.9000,0.0000,0.0000,0.0000,231.2000,219.0000,218.7000,0.0000,0.0000,0,1408327939
2014/08/18   10:13:19,1,1,1,1,0,0,0,0,0,1,0.0000,19.6414,0.0000,0.2747,0.2808,1.3949,0.0086,0.3747,0.3754,25.5559,24.6464,12.1583,13.3546,0.3749,0.0000,0.0000,22.2510,0.0000,2.2792,0.3599,0.0000,961.0000,11300.0000,0.0000,0.0000,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9000,24.9000,0.0000,0.0000,0.0000,229.6000,219.4000,218.7000,0.0000,0.0000,1,1408327999
2014/08/18   10:14:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.6414,0.0000,0.2655,0.2716,1.3949,0.0086,0.3746,0.3754,25.5834,24.6831,12.1583,13.3454,0.3749,0.0000,0.0000,22.2510,0.0000,2.2779,0.3599,0.0000,961.0000,11300.0000,108.3970,24.9200,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.8000,24.9000,0.0000,0.0000,0.0000,229.6000,219.4000,218.7000,0.0000,0.0000,2,1408328059
2014/08/18   10:15:19,1,1,0,1,0,1,0,0,0,1,0.0000,19.6200,0.0000,0.2747,0.2808,1.3945,0.0086,0.3746,0.3754,25.6139,24.7136,12.1583,13.3546,0.3749,0.0000,0.0000,22.2602,0.0000,2.2768,0.3600,0.0000,1066060608.0000,1103600000.0000,108.4330,24.9300,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9000,24.9000,0.0000,0.0000,0.0000,231.0000,219.2000,218.7000,0.0000,0.0000,3,1408328119
2014/08/18   10:17:19,1,1,0,1,0,1,0,0,0,1,0.0000,19.6200,0.0000,0.2655,0.2808,1.3949,0.0087,0.3746,0.3754,25.6597,24.7319,12.1491,13.3180,0.3749,0.0000,0.0000,22.2510,0.0000,2.2746,0.3599,0.0000,961.0000,11300.0000,108.4700,24.9800,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.0000,24.8000,0.0000,0.0000,0.0000,229.2000,219.4000,218.7000,0.0000,0.0000,4,1408328239
2014/08/18   10:18:19,1,1,0,1,0,1,0,0,0,1,0.0000,19.6200,0.0000,0.2747,0.2808,1.3949,0.0087,0.3746,0.3754,25.6810,24.7502,12.1583,13.3180,0.3749,0.0000,0.0000,22.2510,0.0000,2.2733,0.3598,0.0000,0.0000,0.0000,108.4700,24.9800,1.0843,25.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9000,24.9000,0.0000,0.0000,0.0000,229.2000,219.4000,218.7000,0.0000,0.0000,5,1408328299
2014/08/18   10:19:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.6109,0.0000,0.2655,0.2808,1.3949,0.0086,0.3747,0.3754,25.6993,24.7685,12.1766,13.3180,0.3749,0.0000,0.0000,22.2602,0.0000,2.2722,0.3598,0.0000,961.0000,11300.0000,108.4700,25.0400,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.8000,24.9000,0.0000,0.0000,0.0000,229.4000,219.8000,218.7000,0.0000,0.0000,6,1408328359
2014/08/18   10:26:19,1,1,1,1,0,1,0,0,0,1,0.0000,19.5743,0.0000,0.2747,0.2808,1.3945,0.0087,0.3746,0.3753,25.8702,24.9211,12.1766,13.3729,0.3749,0.0000,0.0000,22.2602,0.0000,2.2655,0.3595,0.0000,961.0000,11300.0000,108.5430,25.2000,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.4000,24.9000,0.0000,0.0000,0.0000,230.0000,219.2000,218.7000,0.0000,0.0000,7,1408328779
2014/08/18   10:27:19,1,1,1,1,0,1,0,0,0,1,0.0000,19.5834,0.0000,0.2655,0.2808,1.3945,0.0088,0.3746,0.3753,25.8977,24.9516,12.1674,13.3729,0.3749,0.0000,0.0000,22.2510,0.0000,2.2642,0.3595,0.0000,961.0000,11300.0000,108.5060,25.2500,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.1000,24.9000,0.0000,0.0000,0.0000,228.8000,219.6000,218.7000,0.0000,0.0000,8,1408328839
2014/08/18   10:28:19,1,1,0,1,0,1,0,0,0,1,0.0000,19.5743,0.0000,0.2747,0.2716,1.3941,0.0087,0.3746,0.3753,25.9191,24.9608,12.1674,13.3454,0.3747,0.0000,0.0000,22.2510,0.0000,2.2631,0.3594,0.0000,961.0000,11300.0000,108.5060,25.2500,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.4000,24.9000,0.0000,0.0000,0.0000,228.8000,219.6000,218.7000,0.0000,0.0000,9,1408328899
