tagname,type
/河北区域公司/永清区域公司/永清门站/A050201TT0102,设备类报警
/河北区域公司/永清区域公司/永清门站/A050201TT0103,自控逻辑类报警
/河北区域公司/永清区域公司/永清门站/A050201TT0104,限值类报警
/河北区域公司/永清区域公司/永清门站/A050201TT0105,通信系统类报警
